,Mkt-RF,SMB,HML,RMW,CMA,RF
20190326,0.76,0.23,0.45,0.04,0.19,0.009
20190327,-0.5,0.16,0.49,0.75,0.1,0.009
20190328,0.4,0.35,0.02,-0.14,-0.08,0.009
20190329,0.66,-0.27,-0.92,0.22,-0.16,0.009
20190401,1.19,-0.21,0.97,-0.1,-0.29,0.01
20190402,-0.05,-0.18,-0.44,-0.39,-0.49,0.01
20190403,0.27,0.22,-0.39,0.13,-0.4,0.01
20190404,0.19,0.36,0.93,0.62,0.27,0.01
20190405,0.52,0.49,-0.08,-0.29,0.11,0.01
20190408,0.08,-0.31,0.1,0.27,-0.03,0.01
20190409,-0.65,-0.61,-0.13,0.13,-0.03,0.01
20190410,0.48,0.93,-0.11,0.09,-0.13,0.01
20190411,0.0,-0.27,0.39,0.05,0.13,0.01
20190412,0.65,-0.36,0.64,0.5,-0.23,0.01
20190415,-0.09,-0.26,-0.54,0.36,0.08,0.01
20190416,0.13,0.23,0.69,-0.13,-0.14,0.01
20190417,-0.32,-0.54,0.8,1.1,-0.26,0.01
20190418,0.11,-0.27,-0.49,0.18,-0.19,0.01
20190422,0.11,-0.48,-0.54,-0.53,-0.18,0.01
20190423,0.97,0.65,-0.51,-0.09,-0.44,0.01
20190424,-0.23,0.32,-0.09,0.65,0.06,0.01
20190425,-0.14,-0.8,-0.19,-0.64,-0.31,0.01
20190426,0.53,0.5,0.02,-0.01,-0.19,0.01
20190429,0.18,0.17,0.64,-0.39,-0.17,0.01
20190430,-0.04,-0.67,0.27,0.09,0.7,0.01
20190501,-0.83,-0.08,-0.02,0.36,-0.03,0.009
20190502,-0.16,0.47,-0.29,0.06,0.06,0.009
20190503,1.13,0.93,-0.27,-0.01,-0.36,0.009
20190506,-0.39,0.59,-0.4,0.02,0.05,0.009
20190507,-1.69,-0.27,0.51,0.0,0.31,0.009
20190508,-0.22,-0.2,-0.29,-0.03,0.17,0.009
20190509,-0.28,0.07,0.12,-0.38,0.01,0.009
20190510,0.35,-0.32,0.07,-0.12,0.26,0.009
20190513,-2.67,-0.66,0.3,0.21,0.82,0.009
20190514,0.93,0.34,-0.06,-0.54,-0.02,0.009
20190515,0.59,-0.09,-0.95,0.13,-0.27,0.009
20190516,0.91,-0.43,-0.3,-0.15,-0.23,0.009
20190517,-0.73,-0.76,0.3,0.06,0.31,0.009
20190520,-0.65,-0.08,0.74,0.06,0.44,0.009
20190521,0.9,0.42,-0.34,-0.15,-0.16,0.009
20190522,-0.4,-0.62,-0.6,-0.14,0.19,0.009
20190523,-1.37,-0.72,-0.26,0.33,0.23,0.009
20190524,0.23,0.51,0.3,-0.49,-0.03,0.009
20190528,-0.78,0.2,-0.62,-0.02,-0.27,0.009
20190529,-0.71,-0.22,0.42,-0.2,0.03,0.009
20190530,0.14,-0.38,-0.77,0.32,-0.05,0.009
20190531,-1.37,-0.22,-0.11,0.05,0.39,0.009
20190603,-0.4,0.58,1.67,0.26,1.45,0.009
20190604,2.33,0.47,-0.05,0.29,-0.47,0.009
20190605,0.7,-1.07,-0.96,0.09,-0.23,0.009
20190606,0.55,-1.08,0.02,0.02,-0.07,0.009
20190607,1.04,-0.15,-1.22,0.39,-0.65,0.009
20190610,0.53,-0.01,0.06,0.39,-0.36,0.009
20190611,-0.12,-0.21,0.55,0.44,0.19,0.009
20190612,-0.2,0.29,-0.99,0.08,0.09,0.009
20190613,0.52,0.69,-0.03,-0.12,-0.05,0.009
20190614,-0.27,-0.71,0.32,0.25,0.15,0.009
20190617,0.15,0.49,-1.14,-0.64,-0.44,0.009
20190618,1.04,0.18,0.32,-0.25,-0.19,0.009
20190619,0.32,0.03,-0.59,-0.18,0.14,0.009
20190620,0.89,-0.39,-0.21,-0.12,-0.09,0.009
20190621,-0.21,-0.46,-0.01,-0.1,0.03,0.009
20190624,-0.34,-0.9,0.08,0.61,-0.02,0.009
20190625,-0.98,0.42,0.71,-0.09,0.62,0.009
20190626,-0.06,-0.01,0.24,0.36,-0.39,0.009
20190627,0.6,1.43,-0.11,-0.31,-0.24,0.009
20190628,0.68,0.76,0.59,-0.46,0.12,0.009
20190701,0.75,-0.59,-0.16,-0.13,0.02,0.009
20190702,0.14,-0.97,-0.78,-0.03,0.04,0.009
20190703,0.78,-0.14,-0.31,-0.34,-0.06,0.009
20190705,-0.1,0.33,0.89,0.09,-0.06,0.009
20190708,-0.58,-0.43,0.05,0.04,-0.25,0.009
20190709,0.18,-0.25,-0.45,-0.66,-0.26,0.009
20190710,0.4,-0.27,-0.39,0.08,-0.04,0.009
20190711,0.19,-0.78,0.05,-0.24,-0.54,0.009
20190712,0.53,0.33,0.4,0.58,-0.07,0.009
20190715,-0.04,-0.51,-1.01,0.15,0.25,0.009
20190716,-0.32,0.39,0.13,0.49,-0.03,0.009
20190717,-0.64,-0.27,-0.65,-0.49,-0.23,0.009
20190718,0.35,-0.29,0.0,-0.32,0.39,0.009
20190719,-0.56,0.29,0.87,0.38,0.16,0.009
20190722,0.25,-0.55,-0.49,-0.2,0.0,0.009
20190723,0.65,-0.04,0.79,0.66,0.34,0.009
20190724,0.66,0.92,0.83,-0.09,-0.07,0.009
20190725,-0.63,-0.7,-0.19,0.2,0.13,0.009
20190726,0.82,0.33,-0.2,-0.62,-0.32,0.009
20190729,-0.32,-0.32,-0.44,0.34,0.41,0.009
20190730,-0.17,1.38,0.84,-0.26,0.08,0.009
20190731,-1.09,0.24,0.6,0.15,0.47,0.009
20190801,-1.04,-0.81,-1.86,-0.43,-0.21,0.007
20190802,-0.87,-0.26,0.06,0.13,0.21,0.007
20190805,-3.07,0.04,0.01,-0.12,0.27,0.007
20190806,1.29,-0.57,-0.55,-0.31,-0.23,0.007
20190807,0.07,-0.11,-0.9,0.19,-0.17,0.007
20190808,1.97,0.0,-0.33,0.21,-0.36,0.007
20190809,-0.78,-0.49,-0.25,-0.52,-0.06,0.007
20190812,-1.32,0.2,-0.28,0.09,0.22,0.007
20190813,1.47,-0.33,-0.54,0.34,-0.02,0.007
20190814,-2.95,0.02,-0.5,-0.38,0.0,0.007
20190815,0.16,-0.7,-0.53,-0.09,-0.48,0.007
20190816,1.55,0.66,0.61,0.18,-0.05,0.007
20190819,1.14,0.02,0.24,0.42,0.05,0.007
20190820,-0.75,0.18,-0.5,0.09,-0.23,0.007
20190821,0.85,-0.02,-0.34,-0.04,-0.05,0.007
20190822,-0.1,-0.37,0.49,0.18,0.27,0.007
20190823,-2.66,-0.61,-0.18,-0.66,-0.28,0.007
20190826,1.08,-0.03,-0.19,0.19,-0.13,0.007
20190827,-0.46,-1.0,-0.68,0.26,0.09,0.007
20190828,0.68,0.64,0.62,0.42,0.19,0.007
20190829,1.35,0.42,0.33,0.19,-0.12,0.007
20190830,0.03,-0.25,0.25,0.12,0.11,0.007
20190903,-0.87,-0.93,0.1,-0.18,0.46,0.009
20190904,1.08,-0.15,0.42,0.25,-0.04,0.009
20190905,1.42,0.54,0.69,0.45,-0.02,0.009
